Player,Pos,Age,Tm,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,FG_per36,FGA_per36,3P_per36,3PA_per36,2P_per36,2PA_per36,FT_per36,FTA_per36,ORB_per36,DRB_per36,TRB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,PF_per36,PTS_per36,Cluster_K13,Cluster
Klay Thompson,SF,32.0,GSW,69.0,69.0,33.0,0.436,0.412,0.47,0.556,0.879,8.618181818181819,19.74545454545455,4.8,11.563636363636364,3.9272727272727277,8.290909090909091,1.8545454545454545,2.0727272727272728,0.6545454545454545,3.9272727272727277,4.472727272727273,2.618181818181818,0.7636363636363636,0.43636363636363634,1.9636363636363638,2.0727272727272728,23.89090909090909,0,0
Tobias Harris,SF,30.0,PHI,74.0,74.0,32.9,0.501,0.389,0.57,0.575,0.876,6.237082066869302,12.474164133738604,1.8601823708206686,4.8145896656534966,4.376899696048632,7.659574468085107,1.641337386018237,1.8601823708206686,0.9848024316109423,5.2522796352583585,6.237082066869302,2.735562310030395,0.9848024316109423,0.547112462006079,1.3130699088145896,2.188449848024316,16.085106382978722,0,0
P.J. Washington,PF,24.0,CHO,73.0,73.0,32.6,0.444,0.348,0.518,0.52,0.73,6.515337423312884,14.797546012269938,2.208588957055215,6.515337423312884,4.306748466257669,8.282208588957054,1.8773006134969323,2.6503067484662575,1.1042944785276074,4.306748466257669,5.411042944785276,2.6503067484662575,0.9938650306748467,1.2147239263803682,1.656441717791411,2.871165644171779,17.337423312883434,0,0
Harrison Barnes,PF,30.0,SAC,82.0,82.0,32.5,0.473,0.374,0.553,0.556,0.847,5.095384615384615,10.633846153846154,1.7723076923076924,4.763076923076922,3.3230769230769233,5.8707692307692305,4.763076923076922,5.538461538461538,1.2184615384615387,3.7661538461538457,4.984615384615385,1.7723076923076924,0.7753846153846153,0.11076923076923077,1.1076923076923078,1.44,16.615384615384617,0,0
Andrew Wiggins,SF,27.0,GSW,37.0,37.0,32.2,0.473,0.396,0.53,0.557,0.611,7.602484472049689,15.987577639751553,2.683229813664596,6.819875776397515,4.919254658385094,9.167701863354036,1.341614906832298,2.124223602484472,1.7888198757763973,3.8012422360248443,5.590062111801242,2.5714285714285707,1.341614906832298,0.8944099378881987,1.453416149068323,3.24223602484472,19.118012422360245,0,0
Bam Adebayo,C,25.0,MIA,75.0,75.0,34.6,0.54,0.083,0.545,0.541,0.806,8.323699421965317,15.502890173410403,0.0,0.20809248554913293,8.323699421965317,15.294797687861271,4.473988439306358,5.61849710982659,2.6011560693641615,6.971098265895954,9.572254335260116,3.329479768786127,1.2485549132947975,0.8323699421965317,2.6011560693641615,2.9132947976878607,21.225433526011557,1,1
Domantas Sabonis,C,26.0,SAC,79.0,79.0,34.6,0.615,0.373,0.639,0.632,0.742,7.595375722543352,12.381502890173412,0.41618497109826585,1.1445086705202312,7.179190751445087,11.23699421965318,4.265895953757225,5.722543352601156,3.329479768786127,9.468208092485547,12.797687861271676,7.595375722543352,0.8323699421965317,0.5202312138728323,3.0173410404624277,3.6416184971098264,19.8728323699422,1,1
Evan Mobley,PF,21.0,CLE,79.0,79.0,34.4,0.554,0.216,0.595,0.566,0.674,6.906976744186046,12.558139534883722,0.313953488372093,1.36046511627907,6.697674418604652,11.19767441860465,2.72093023255814,3.9767441860465116,2.511627906976744,6.906976744186046,9.418604651162791,2.9302325581395348,0.8372093023255816,1.5697674418604652,1.8837209302325582,2.9302325581395348,16.953488372093023,1,1
Nikola Vučević,C,32.0,CHI,82.0,82.0,33.5,0.52,0.349,0.594,0.573,0.835,7.844776119402985,15.044776119402984,1.6119402985074627,4.513432835820896,6.232835820895522,10.53134328358209,1.7194029850746269,2.041791044776119,2.041791044776119,9.77910447761194,11.82089552238806,3.4388059701492537,0.7522388059701491,0.7522388059701491,1.8268656716417908,2.3641791044776124,18.9134328358209,1,1
Jarrett Allen,C,24.0,CLE,68.0,68.0,32.6,0.644,0.1,0.653,0.645,0.733,6.515337423312884,10.159509202453988,0.0,0.11042944785276074,6.515337423312884,10.049079754601227,2.6503067484662575,3.6441717791411037,3.6441717791411037,7.177914110429447,10.822085889570552,1.8773006134969323,0.8834355828220859,1.3251533742331287,1.54601226993865,2.539877300613497,15.791411042944786,1,1
