Player,Pos,MP,PTS_per36,AST_per36,TRB_per36,eFG%,Cluster_K13
Klay Thompson,SF,33.0,23.89090909090909,2.618181818181818,4.472727272727273,0.556,0
Tobias Harris,SF,32.9,16.085106382978722,2.735562310030395,6.237082066869302,0.575,0
P.J. Washington,PF,32.6,17.337423312883434,2.6503067484662575,5.411042944785276,0.52,0
Harrison Barnes,PF,32.5,16.615384615384617,1.7723076923076924,4.984615384615385,0.556,0
Andrew Wiggins,SF,32.2,19.118012422360245,2.5714285714285707,5.590062111801242,0.557,0
Gary Trent Jr.,SG,32.1,19.514018691588785,1.794392523364486,2.9158878504672896,0.522,0
Buddy Hield,SF,31.0,19.50967741935484,3.2516129032258063,5.806451612903226,0.596,0
Trey Murphy III,SF,31.0,16.838709677419352,1.6258064516129032,4.180645161290323,0.61,0
Cameron Johnson,PF,30.8,19.402597402597404,2.454545454545454,5.6103896103896105,0.565,0
Tim Hardaway Jr.,SF,30.3,17.10891089108911,2.1386138613861387,4.158415841584159,0.527,0
Dillon Brooks,SF,30.3,16.99009900990099,3.089108910891089,3.9207920792079203,0.468,0
Keegan Murray,SF,29.8,14.738255033557046,1.4496644295302012,5.5570469798657705,0.584,0
Kevin Huerter,SG,29.4,18.612244897959183,3.5510204081632653,4.040816326530612,0.603,0
Michael Porter Jr.,SF,29.0,21.599999999999998,1.2413793103448276,6.827586206896552,0.602,0
Immanuel Quickley,SG,28.9,18.560553633217992,4.235294117647059,5.231833910034602,0.537,0
Saddiq Bey,SF,28.8,18.500000000000004,2.0,5.875,0.488,0
Cameron Johnson,PF,28.5,19.578947368421055,2.4,5.557894736842106,0.579,0
Max Strus,SF,28.4,14.577464788732396,2.661971830985916,4.056338028169015,0.535,0
Marcus Morris,PF,28.1,14.348754448398575,2.306049822064057,5.124555160142348,0.513,0
Bogdan Bogdanović,SG,27.9,18.06451612903226,3.612903225806452,4.0,0.566,0
Saddiq Bey,SF,27.6,18.0,1.9565217391304348,6.130434782608696,0.513,0
Malik Beasley,SG,26.8,18.0,2.283582089552239,4.835820895522388,0.522,0
Devonte' Graham,PG,26.4,17.727272727272727,5.454545454545455,3.409090909090909,0.513,0
Malik Beasley,SG,25.8,17.72093023255814,2.0930232558139537,4.883720930232558,0.52,0
Saddiq Bey,SF,25.2,16.57142857142857,2.0,6.857142857142857,0.578,0
Cameron Johnson,PF,25.2,19.857142857142858,2.142857142857143,5.428571428571428,0.604,0
Eric Gordon,SG,24.9,15.903614457831326,3.0361445783132535,2.4578313253012047,0.597,0
Jordan Nwora,SF,24.6,19.024390243902438,3.0731707317073167,6.878048780487804,0.569,0
Luke Kennard,SG,24.6,16.536585365853657,3.365853658536585,4.536585365853658,0.743,0
Malik Beasley,SG,23.9,16.719665271966527,1.8075313807531381,4.97071129707113,0.515,0
Malaki Branham,SG,23.5,15.625531914893616,2.91063829787234,4.136170212765958,0.503,0
Lonnie Walker IV,SG,23.2,18.155172413793103,1.7068965517241381,2.9482758620689653,0.534,0
Svi Mykhailiuk,SF,22.5,16.96,4.32,3.84,0.553,0
Luke Kennard,SG,22.3,15.013452914798208,2.42152466367713,4.358744394618834,0.666,0
Shaedon Sharpe,SG,22.2,16.054054054054056,1.945945945945946,4.864864864864865,0.551,0
Terrence Ross,SG,21.1,14.161137440758294,2.559241706161137,4.0947867298578196,0.532,0
Julian Champagnie,SF,20.9,18.947368421052634,1.2057416267942584,6.889952153110048,0.59,0
Doug McDermott,SF,20.5,17.912195121951218,2.458536585365853,3.863414634146342,0.575,0
